p is predicted
r is result
h/m is hit miss
if i%4==0 then its not taken(n)
if i%4==1 then its taken(t)
  i | p | r | h/m
----------------
  1 | t | t | hit
  2 | t | t | hit
  3 | t | t | hit
  4 | t | n | miss
  5 | n | t | miss
  6 | t | t | hit
  7 | t | t | hit
  8 | t | n | miss
  9 | n | t | miss
 10 | t | t | hit
 11 | t | t | hit
 12 | t | n | miss
 13 | n | t | miss
 14 | t | t | hit
 15 | t | t | hit
 16 | t | n | miss
 17 | n | t | miss
 18 | t | t | hit
 19 | t | t | hit
 20 | t | n | miss
 21 | n | t | miss
 22 | t | t | hit
 23 | t | t | hit
 24 | t | n | miss
 25 | n | t | miss
 26 | t | t | hit
 27 | t | t | hit
 28 | t | n | miss
 29 | n | t | miss
 30 | t | t | hit
 31 | t | t | hit
 32 | t | n | miss
 33 | n | t | miss
 34 | t | t | hit
 35 | t | t | hit
 36 | t | n | miss
 37 | n | t | miss
 38 | t | t | hit
 39 | t | t | hit
 40 | t | n | miss
 41 | n | t | miss
 42 | t | t | hit
 43 | t | t | hit
 44 | t | n | miss
 45 | n | t | miss
 46 | t | t | hit
 47 | t | t | hit
 48 | t | n | miss
 49 | n | t | miss
 50 | t | t | hit
 51 | t | t | hit
 52 | t | n | miss
 53 | n | t | miss
 54 | t | t | hit
 55 | t | t | hit
 56 | t | n | miss
 57 | n | t | miss
 58 | t | t | hit
 59 | t | t | hit
 60 | t | n | miss
 61 | n | t | miss
 62 | t | t | hit
 63 | t | t | hit
 64 | t | n | miss
 65 | n | t | miss
 66 | t | t | hit
 67 | t | t | hit
 68 | t | n | miss
 69 | n | t | miss
 70 | t | t | hit
 71 | t | t | hit
 72 | t | n | miss
 73 | n | t | miss
 74 | t | t | hit
 75 | t | t | hit
 76 | t | n | miss
 77 | n | t | miss
 78 | t | t | hit
 79 | t | t | hit
 80 | t | n | miss
 81 | n | t | miss
 82 | t | t | hit
 83 | t | t | hit
 84 | t | n | miss
 85 | n | t | miss
 86 | t | t | hit
 87 | t | t | hit
 88 | t | n | miss
 89 | n | t | miss
 90 | t | t | hit
 91 | t | t | hit
 92 | t | n | miss
 93 | n | t | miss
 94 | t | t | hit
 95 | t | t | hit
 96 | t | n | miss
 97 | n | t | miss
 98 | t | t | hit
 99 | t | t | hit
100 | t | n | miss
hit 51 miss 49
